"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_hash","data_path","dislike_threshold","end_sep","like_threshold","min_neg_ratings","min_pos_ratings","model_type","nb_neg","nb_pos","nb_test_users","offset","prompt_id","prompts","sep","users_seed","xp_name","ndcg_1","ndcg_1_std","ndcg_2","ndcg_2_std","ndcg_3","ndcg_3_std","ndcg_4","ndcg_4_std","ndcg_5","ndcg_5_std","pop_1","pop_1_std","precision_1","precision_1_std","precision_2","precision_2_std","precision_3","precision_3_std","precision_4","precision_4_std","precision_5","precision_5_std","recall_1","recall_1_std","recall_2","recall_2_std","recall_3","recall_3_std","recall_4","recall_4_std","recall_5","recall_5_std"
"lively-meadow-40","finished","-","","","2025-01-29T17:09:16.000Z","255","","2104542884629435000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","20","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.32","0.466476151587624","0.4335673556428623","0.4513007554063797","0.5335673556428623","0.39618038909289344","0.6024756049346052","0.32917068034080105","0.656634997947441","0.24720919083448903","6.5392279365115575","6.40612850014597","0.32","0.466476151587624","0.25","0.25","0.23333333333333336","0.15275252316519466","0.215","0.08674675786448735","0.19999999999999996","5.551115123125783e-17","0.32","0.466476151587624","0.5","0.5","0.7","0.458257569495584","0.86","0.3469870314579494","1","0"
"upbeat-sunset-39","finished","-","","","2025-01-29T17:05:35.000Z","215","","1855903814960035000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","15","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.32","0.466476151587624","0.4714231408571498","0.4396562147978776","0.5614231408571498","0.38123670056293185","0.6217178589874248","0.3161831596345106","0.6681401958555697","0.2409401930734682","4.954826259339995","4.507884098427198","0.32","0.466476151587624","0.28","0.2481934729198171","0.24666666666666667","0.14621141466307536","0.22","0.0812403840463596","0.19999999999999996","5.551115123125783e-17","0.32","0.466476151587624","0.56","0.4963869458396343","0.74","0.4386342439892262","0.88","0.3249615361854384","1","0"
"youthful-blaze-38","finished","-","","","2025-01-29T17:02:38.000Z","170","","1625489925582761500","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","10","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.28","0.44899888641287294","0.456660331000008","0.4276933494861128","0.586660331000008","0.3350968742537718","0.6383415179688152","0.26690492925727183","0.6615526864028877","0.22370847906504968","4.811574479733227","4.743600527060023","0.28","0.44899888641287294","0.28","0.2481934729198171","0.2733333333333333","0.12806248474865695","0.235","0.059371710435189594","0.19999999999999996","5.551115123125783e-17","0.28","0.44899888641287294","0.56","0.4963869458396342","0.82","0.3841874542459709","0.94","0.2374868417407584","1","0"
"quiet-pyramid-37","finished","-","","","2025-01-29T17:00:12.000Z","139","","1066409631842160000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","7","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.3","0.458257569495584","0.4261859507142914","0.44494944229890154","0.47618595071429143","0.4217361866507003","0.5709347934904379","0.34562123467554307","0.6405682987926553","0.24905972749973712","5.130499801117448","4.787612384653946","0.3","0.458257569495584","0.25","0.25","0.2","0.1632993161855452","0.205","0.09604686356149272","0.19999999999999996","5.551115123125783e-17","0.3","0.458257569495584","0.5","0.5","0.6","0.4898979485566356","0.82","0.3841874542459709","1","0"
"frosty-lion-36","finished","-","","","2025-01-29T16:58:04.000Z","121","","453592704829253400","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","5","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.38","0.4853864439804639","0.45571157042857485","0.4691435250011779","0.5857115704285749","0.3869245905071185","0.637392757397382","0.3297833091762593","0.683815094265527","0.2556992107620592","5.946541681933338","5.696880155058545","0.38","0.4853864439804639","0.25","0.25","0.2533333333333333","0.1423610433604175","0.22","0.08124038404635961","0.19999999999999996","5.551115123125783e-17","0.38","0.4853864439804639","0.5","0.5","0.76","0.4270831300812524","0.88","0.32496153618543844","1","0"
"mild-tree-35","finished","-","","","2025-01-29T16:56:16.000Z","101","","2081267029413055700","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","3","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.3","0.458257569495584","0.41356735564286223","0.4479007323683267","0.5035673556428624","0.4038229092564811","0.5724756049346051","0.34438622662949536","0.6421091102368226","0.2469088878350967","4.685741047790265","4.965910699086162","0.3","0.458257569495584","0.24","0.24979991993593595","0.22","0.15790292376436013","0.205","0.09604686356149272","0.19999999999999996","5.551115123125783e-17","0.3","0.458257569495584","0.48","0.4995998398718719","0.66","0.4737087712930804","0.82","0.3841874542459709","1","0"
"vital-jazz-34","finished","-","","","2025-01-29T16:54:35.000Z","94","","159686959072766500","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","2","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.38","0.4853864439804639","0.5692789260714372","0.41874002736002336","0.6092789260714372","0.3849686953867264","0.6523465818787764","0.33528178158228816","0.7065059748916124","0.24448099438914112","4.723712018066235","4.681300652091196","0.38","0.4853864439804639","0.34","0.23323807579381203","0.2533333333333333","0.14236104336041747","0.215","0.08674675786448736","0.19999999999999996","5.551115123125783e-17","0.38","0.4853864439804639","0.68","0.46647615158762407","0.76","0.4270831300812525","0.86","0.34698703145794946","1","0"
"effortless-wave-33","finished","-","","","2025-01-29T16:53:00.000Z","89","","2190207975932028700","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","1","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.3","0.458257569495584","0.4261859507142915","0.4449494422989015","0.5161859507142915","0.3977015653395534","0.5937077311675022","0.3248267450835829","0.647867124180338","0.24335403633613897","4.491210474766152","4.991027511375821","0.3","0.458257569495584","0.25","0.25","0.22666666666666668","0.155492050529208","0.215","0.08674675786448735","0.19999999999999996","5.551115123125783e-17","0.3","0.458257569495584","0.5","0.5","0.68","0.46647615158762407","0.86","0.3469870314579494","1","0"
"drawn-brook-32","finished","-","","","2025-01-29T16:48:37.000Z","257","","2104542884629435000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","20","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.32","0.466476151587624","0.4588045457857206","0.4439305200518899","0.5688045457857206","0.3728770662841613","0.61187220159306","0.3267056114489604","0.6660315946058958","0.2418217853015715","4.658200533489968","4.813451164957283","0.32","0.466476151587624","0.27","0.24919871588754228","0.25333333333333335","0.14236104336041747","0.215","0.08674675786448735","0.19999999999999996","5.551115123125783e-17","0.32","0.466476151587624","0.54","0.49839743177508455","0.76","0.4270831300812525","0.86","0.3469870314579494","1","0"
"revived-bird-31","finished","-","","","2025-01-29T16:44:58.000Z","213","","1855903814960035000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","15","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.36","0.48","0.5240417359285789","0.43460219860214","0.6040417359285789","0.3723337122545329","0.6643364540588539","0.2968558732915906","0.6952846786376172","0.2408691696921994","6.1905013123397","5.31726346568898","0.36","0.48","0.31","0.2426932219902319","0.26","0.13808210118138653","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.36","0.48","0.62","0.4853864439804639","0.78","0.41424630354415953","0.92","0.2712931993250107","1","0"
"prime-frog-30","finished","-","","","2025-01-29T16:42:01.000Z","171","","1625489925582761500","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","10","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.32","0.46647615158762407","0.5092789260714372","0.4243308634097283","0.5892789260714372","0.3635547461808408","0.6237330507173087","0.324372272920046","0.6778924437301445","0.2359530418433821","4.347701787376732","4.284756504119003","0.32","0.46647615158762407","0.31","0.2426932219902319","0.26","0.13808210118138653","0.215","0.08674675786448735","0.19999999999999996","5.551115123125783e-17","0.32","0.46647615158762407","0.62","0.4853864439804639","0.78","0.41424630354415953","0.86","0.3469870314579494","1","0"
"colorful-grass-29","finished","-","","","2025-01-29T16:39:30.000Z","144","","1066409631842160000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","7","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.48","0.4995998398718719","0.6314231408571498","0.4205260778312203","0.6914231408571498","0.35703137849949773","0.7000366720186176","0.3452472573802649","0.7541960650314534","0.24776404019894105","5.284541707595602","5.300579608685117","0.48","0.4995998398718719","0.36","0.22449944320643647","0.28","0.12220201853215572","0.215","0.08674675786448735","0.19999999999999996","5.551115123125783e-17","0.48","0.4995998398718719","0.72","0.44899888641287294","0.84","0.3666060555964672","0.86","0.3469870314579494","1","0"
"fearless-sun-28","finished","-","","","2025-01-29T16:37:18.000Z","126","","453592704829253400","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","5","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.32","0.46647615158762407","0.5471347112857247","0.4049069709517399","0.5971347112857246","0.3629547960789892","0.6315888359315961","0.32286246849008843","0.6857482289444319","0.23204678613945787","5.8340160731317505","5.744367964023838","0.32","0.46647615158762407","0.34","0.233238075793812","0.26","0.13808210118138653","0.215","0.08674675786448735","0.19999999999999996","5.551115123125783e-17","0.32","0.46647615158762407","0.68","0.466476151587624","0.78","0.41424630354415953","0.86","0.3469870314579494","1","0"
"sandy-fog-27","finished","-","","","2025-01-29T16:35:27.000Z","105","","2081267029413055700","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","3","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.3","0.45825756949558394","0.4892789260714372","0.42429687564829305","0.6092789260714371","0.3289390466754565","0.6523465818787764","0.2690982591192169","0.6755577503128489","0.22487989596687724","5.552445143345133","6.0655698499551525","0.3","0.45825756949558394","0.3","0.2449489742783178","0.28","0.12220201853215572","0.235","0.059371710435189594","0.19999999999999996","5.551115123125783e-17","0.3","0.45825756949558394","0.6","0.4898979485566356","0.84","0.3666060555964672","0.94","0.2374868417407584","1","0"
"sparkling-lake-26","finished","-","","","2025-01-29T16:33:47.000Z","94","","159686959072766500","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","2","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.3","0.458257569495584","0.4640417359285789","0.43377883689876273","0.584041735928579","0.3498486282928439","0.6357229228973861","0.28567998363296276","0.6666711474761494","0.23082174166611696","5.593704533239047","6.305847541087855","0.3","0.458257569495584","0.28","0.2481934729198171","0.26666666666666666","0.13333333333333333","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.3","0.458257569495584","0.56","0.4963869458396342","0.8","0.4","0.92","0.2712931993250107","1","0"
