"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_hash","data_path","dislike_threshold","end_sep","like_threshold","min_neg_ratings","min_pos_ratings","model_type","nb_neg","nb_pos","nb_test_users","offset","prompt_id","prompts","sep","users_seed","xp_name","ndcg_1","ndcg_1_std","ndcg_2","ndcg_2_std","ndcg_3","ndcg_3_std","ndcg_4","ndcg_4_std","ndcg_5","ndcg_5_std","pop_1","pop_1_std","precision_1","precision_1_std","precision_2","precision_2_std","precision_3","precision_3_std","precision_4","precision_4_std","precision_5","precision_5_std","recall_1","recall_1_std","recall_2","recall_2_std","recall_3","recall_3_std","recall_4","recall_4_std","recall_5","recall_5_std"
"fallen-thunder-94","crashed","-","","","2025-01-14T07:56:37.000Z","1","","1868926016067040500","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","5","50","100","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"easy-mountain-93","finished","-","","","2025-01-14T07:55:57.000Z","39","","1179291037083628000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","5","50","100","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.32","0.466476151587624","0.45880454578572055","0.4439305200518899","0.5688045457857206","0.37287706628416134","0.6377127950774635","0.29253286394780154","0.6686610196562269","0.23899358536272183","4.934530544510485","5.203659364041854","0.32","0.466476151587624","0.27","0.24919871588754228","0.2533333333333333","0.14236104336041747","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.32","0.466476151587624","0.54","0.49839743177508455","0.76","0.4270831300812525","0.92","0.2712931993250107","1","0"
"efficient-aardvark-92","finished","-","","","2025-01-14T07:55:18.000Z","38","","315359558536605060","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","5","50","50","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.34","0.4737087712930804","0.5040417359285789","0.4352479069070374","0.5940417359285789","0.3682570135106905","0.6198823294129825","0.3396669656690561","0.6817787785705092","0.24238453352190809","4.728798792162744","4.58414172395485","0.34","0.4737087712930804","0.3","0.2449489742783178","0.26","0.13808210118138653","0.21","0.0916515138991168","0.19999999999999996","5.551115123125783e-17","0.34","0.4737087712930804","0.6","0.4898979485566356","0.78","0.41424630354415953","0.84","0.3666060555964672","1","0"
"dauntless-music-91","finished","-","","","2025-01-14T07:54:41.000Z","35","","821207727878663600","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","5","50","50","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.34","0.4737087712930804","0.5040417359285789","0.4352479069070374","0.5840417359285789","0.3773513783178544","0.6529499852203218","0.29467320280857756","0.6838982097990852","0.2396489637855956","5.224733575794212","5.527622842577216","0.34","0.4737087712930804","0.3","0.2449489742783178","0.25333333333333335","0.14236104336041747","0.23","0.06782329983125268","0.19999999999999996","5.551115123125783e-17","0.34","0.4737087712930804","0.6","0.4898979485566356","0.76","0.4270831300812525","0.92","0.2712931993250107","1","0"
"earthy-plant-90","finished","-","","","2025-01-14T07:54:06.000Z","34","","1664157926746306300","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","5","50","0","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.32","0.466476151587624","0.4335673556428624","0.4513007554063796","0.5335673556428624","0.3961803890928935","0.5938620737731374","0.3390403850837452","0.6557585229306641","0.2480849050266834","6.067134195110197","5.5112329384377245","0.32","0.466476151587624","0.25","0.25","0.2333333333333333","0.1527525231651947","0.21","0.0916515138991168","0.19999999999999996","5.551115123125783e-17","0.32","0.466476151587624","0.5","0.5","0.7","0.4582575694955841","0.84","0.3666060555964672","1","0"
"deep-hill-89","finished","-","","","2025-01-14T07:53:29.000Z","35","","453592704829253400","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","5","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.24","0.4270831300812525","0.4040417359285789","0.4245575198399774","0.5040417359285789","0.37341764884236134","0.555722922897386","0.32699957295402027","0.6253564281996036","0.22720902811927168","4.566689981309317","4.558128083935115","0.24","0.4270831300812525","0.25","0.25","0.2333333333333333","0.15275252316519466","0.205","0.09604686356149272","0.19999999999999996","5.551115123125783e-17","0.24","0.4270831300812525","0.5","0.5","0.7","0.4582575694955841","0.82","0.3841874542459709","1","0"
"glorious-vortex-88","finished","-","","","2025-01-14T07:52:58.000Z","29","","934843195360484100","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","3","50","150","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.34","0.4737087712930804","0.5166603310000081","0.4295606609952188","0.576660331000008","0.3859055865812885","0.6197279868073473","0.34050801934579156","0.6816244359648741","0.24360096937633124","4.65856020438568","4.488739138113088","0.34","0.4737087712930804","0.31","0.2426932219902319","0.24666666666666667","0.14621141466307536","0.21","0.0916515138991168","0.19999999999999996","5.551115123125783e-17","0.34","0.4737087712930804","0.62","0.4853864439804639","0.74","0.4386342439892262","0.84","0.3666060555964672","1","0"
"tough-vortex-87","finished","-","","","2025-01-14T07:52:24.000Z","32","","1686034882142333200","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","3","50","150","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.38","0.4853864439804639","0.46833016550000406","0.465184894030946","0.568330165500004","0.4033992470674451","0.6372384147917469","0.33065767780799565","0.6836607516598918","0.25685382059711664","4.303565030317114","3.4647494529451555","0.38","0.4853864439804639","0.26","0.24979991993593592","0.24","0.14966629547095767","0.22","0.08124038404635961","0.19999999999999996","5.551115123125783e-17","0.38","0.4853864439804639","0.52","0.49959983987187184","0.72","0.448998886412873","0.88","0.32496153618543844","1","0"
"swift-energy-86","finished","-","","","2025-01-14T07:51:51.000Z","31","","72214697146297100","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","3","50","100","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.24","0.42708313008125254","0.37880454578572065","0.4290489878315257","0.47880454578572057","0.3851261154506566","0.5477127950774634","0.3275114953760347","0.6173463003796811","0.23037913947725128","4.321754101328877","3.739991508858097","0.24","0.42708313008125254","0.23","0.24919871588754228","0.22","0.15790292376436013","0.205","0.09604686356149272","0.19999999999999996","5.551115123125783e-17","0.24","0.42708313008125254","0.46","0.49839743177508455","0.66","0.4737087712930805","0.82","0.3841874542459709","1","0"
"astral-bee-85","finished","-","","","2025-01-14T07:51:18.000Z","31","","2221331180595109600","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","3","50","100","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.42","0.4935585071701226","0.5209487605714332","0.460764544523302","0.5909487605714332","0.4116687248380247","0.6426299475402404","0.3577376173621943","0.7045263966977668","0.2617953854101551","4.013053709694206","3.575717807754581","0.42","0.4935585071701226","0.29","0.2467792535850613","0.24","0.14966629547095767","0.21","0.0916515138991168","0.19999999999999996","5.551115123125783e-17","0.42","0.4935585071701226","0.58","0.4935585071701226","0.72","0.448998886412873","0.84","0.3666060555964672","1","0"
